Unnamed: 0,id,dataReferencia,codigo,nome,repacVenc,indice,correcao,taxaCompra,taxaVenda,taxaIndicativa,desvioPadrao,intervaloMin,intervaloMax,pu,percPu,duration,percReune,referenciaNTNB,spread_bid_ask,spread,spread_2
742294,1638305,2023-08-17,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.1095,1.8537,1.9666,"0,08","1,89","2,04","1002,720828","100,16","1215,57",35,1900-01-01,0.25580000000000025,-1.7107999999999997,-1.7441999999999998
743082,1639881,2023-08-18,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.102,1.8451,1.9673,"0,06","1,91","2,02","1003,257857","100,15","1215,34",10,1900-01-01,0.2568999999999999,-1.7104000000000001,-1.7431
743870,1641457,2023-08-21,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0948,1.8384,1.9401,"0,06","1,88",2,"1005,109899","100,28","1210,85",5,1900-01-01,0.2564000000000002,-1.6836999999999998,-1.7435999999999998
744658,1643093,2023-08-22,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0768,1.8372,1.9604,"0,06","1,91","2,02","1004,722817","100,19","1212,25",0,1900-01-01,0.23960000000000004,-1.7207999999999999,-1.7604
745446,1646053,2023-08-23,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0947,1.8247,1.9664,"0,06","1,91","2,02","1005,014878","100,16","1215,9",0,1900-01-01,0.27,-1.6964,-1.73
746234,1647629,2023-08-24,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0757,1.7825,1.9404,"0,06","1,88",2,"1006,826097","100,28","1216,73",0,1900-01-01,0.2931999999999999,-1.6472,-1.7068
747022,1649205,2023-08-25,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0691,1.7654,1.9324,"0,06","1,87","1,99","1007,771346","100,32","1213,28",0,1900-01-01,0.3037000000000001,-1.6286999999999998,-1.6963
747813,1650803,2023-08-28,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0794,1.7635,1.9552,"0,03","1,92","1,99","1007,259057","100,21","1212,59",35,1900-01-01,0.31590000000000007,-1.6393,-1.6841
748620,1652417,2023-08-29,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0966,1.7516,1.9543,"0,06","1,9","2,01","1007,878331","100,22","1214,47",45,1900-01-01,0.345,-1.6093,-1.655
749427,1654031,2023-08-30,CSAN23,COSAN SA (*),2031-08-15,2.0,di_spread,2.0895,1.7504,1.9469,"0,06","1,89","2,01","1008,800792","100,25","1212,73",15,1900-01-01,0.3391000000000002,-1.6078,-1.6608999999999998
